Speed (mph),Driver,Car,Engine,Date,table_number
407.447,Craig Breedlove,Spirit of America,GE J47,8/5/63,2
413.199,Tom Green,Wingfoot Express,WE J46,10/2/64,2
434.22,Art Arfons,Green Monster,GE J79,10/5/64,2
468.719,Craig Breedlove,Spirit of America,GE J79,10/13/64,2
526.277,Craig Breedlove,Spirit of America,GE J79,10/15/65,2
536.712,Art Arfons,Green Monster,GE J79,10/27/65,2
555.127,Craig Breedlove,"Spirit of America, Sonic 1",GE J79,11/2/65,2
576.553,Art Arfons,Green Monster,GE J79,11/7/65,2
600.601,Craig Breedlove,"Spirit of America, Sonic 1",GE J79,11/15/65,2
622.407,Gary Gabelich,Blue Flame,Rocket,10/23/70,2
633.468,Richard Noble,Thrust 2,RR RG 146,10/4/83,2
763.035,Andy Green,Thrust SSC,RR Spey,10/15/97,2
